Czas symulacji: 60
Liczba kanalow: 5
Dlugosc kolejki: 3
Lambda: 0.5
Srednia rozm: 8
Odchylenie: 2
Min/Max rozm: 2/20

Krok	rho	Q	W
1	0.200	0.000	0.000
2	0.600	0.000	0.000
3	1.000	1.000	2.000
4	1.000	2.000	4.000
5	1.000	3.000	6.000
6	1.000	3.000	6.000
7	1.000	3.000	6.000
8	1.000	3.000	6.000
9	1.000	3.000	6.000
10	1.000	3.000	6.000
11	1.000	2.000	4.000
12	1.000	3.000	6.000
13	1.000	3.000	6.000
14	1.000	3.000	6.000
15	1.000	3.000	6.000
16	1.000	3.000	6.000
17	1.000	3.000	6.000
18	1.000	3.000	6.000
19	1.000	2.000	4.000
20	1.000	2.000	4.000
21	1.000	1.000	2.000
22	1.000	1.000	2.000
23	0.800	0.000	0.000
24	0.600	0.000	0.000
25	0.600	0.000	0.000
26	0.400	0.000	0.000
27	0.400	0.000	0.000
28	0.400	0.000	0.000
29	0.400	0.000	0.000
30	0.400	0.000	0.000
31	0.400	0.000	0.000
32	0.400	0.000	0.000
33	0.200	0.000	0.000
34	0.000	0.000	0.000
35	0.000	0.000	0.000
36	0.000	0.000	0.000
37	0.000	0.000	0.000
38	0.000	0.000	0.000
39	0.000	0.000	0.000
40	0.000	0.000	0.000
41	0.000	0.000	0.000
42	0.000	0.000	0.000
43	0.000	0.000	0.000
44	0.000	0.000	0.000
45	0.000	0.000	0.000
46	0.000	0.000	0.000
47	0.000	0.000	0.000
48	0.000	0.000	0.000
49	0.000	0.000	0.000
50	0.000	0.000	0.000
51	0.000	0.000	0.000
52	0.000	0.000	0.000
53	0.000	0.000	0.000
54	0.000	0.000	0.000
55	0.000	0.000	0.000
56	0.000	0.000	0.000
57	0.000	0.000	0.000
58	0.000	0.000	0.000
59	0.000	0.000	0.000
60	0.000	0.000	0.000
